custnum,saledate,Equipsales
100803,2015-04-01,399944.7
700700,2018-04-01,217610
254424,2015-06-01,92626
165717,2015-08-01,163668
162454,2018-07-01,223852
138744,2017-06-01,80404
171935,2017-12-01,276432
165803,2018-09-01,1068713.7
128874,2017-11-01,208723
254010,2015-10-01,143316
144572,2017-02-01,80169
223781,2017-10-01,1400910
223781,2017-01-01,751251
249972,2015-03-01,117276
132737,2017-08-01,259685.6
155033,2016-06-01,137074
171973,2016-05-01,79452
109798,2016-05-01,103530
244126,2018-08-01,81667
130317,2017-09-01,93450.93
225392,2016-07-01,86025
236265,2017-05-01,98723.54
245727,2015-08-01,117305.8
122903,2017-08-01,92577
120310,2017-03-01,549270
244264,2017-08-01,152908
140882,2017-11-01,76569
700700,2017-07-01,449252.34
600600,2016-04-01,701369.25
144109,2015-11-01,88110
151160,2018-06-01,346236.4
159936,2016-03-01,151616.12
235185,2019-01-01,95137.76
146773,2018-07-01,124980
244036,2017-04-01,108208
163053,2016-09-01,157472.58
155581,2017-06-01,219545.48
256283,2017-09-01,103360
142705,2015-06-01,98747
245837,2017-06-01,156813
255962,2018-08-01,628178.39
241449,2017-03-01,124728
108870,2017-07-01,396759
224210,2018-08-01,83436
159834,2015-08-01,78988.21
243427,2018-04-01,97185.36
153503,2017-10-01,86794
153503,2017-01-01,79209
133176,2017-09-01,1100073.12
107246,2015-05-01,168067.25
155631,2015-06-01,137277.34
178038,2018-11-01,105567
144527,2017-08-01,318763.29
600600,2017-06-01,1251115.8
144527,2018-09-01,265735.88
250549,2016-12-01,89092
124886,2016-06-01,204346.95
137646,2018-08-01,83640
221990,2016-02-01,90948
135841,2016-06-01,226500.3
222356,2018-07-01,139226
188047,2019-02-01,88251
240085,2016-12-01,99098
220379,2017-07-01,105224
162132,2017-07-01,216746.63
600680,2017-07-01,226367.52
144782,2015-09-01,129385
126894,2016-03-01,88367
244191,2017-07-01,93576
142705,2017-07-01,279100.66
251553,2018-08-01,103449
144002,2015-12-01,163754
123822,2015-10-01,88512
141574,2017-12-01,104020
146351,2015-06-01,187360
249972,2016-06-01,196129
150397,2018-10-01,108736
175547,2018-08-01,117242.56
159602,2016-03-01,988891.42
155406,2018-05-01,93868.8
254688,2018-07-01,409119
146111,2018-05-01,101827.73
168153,2016-09-01,77965.8
400400,2017-05-01,11488352.06
255364,2018-06-01,113726
166360,2019-01-01,85743
128074,2015-08-01,105130
235813,2018-11-01,76759
133652,2017-04-01,81754
153734,2018-06-01,75489
175451,2018-10-01,88626
140061,2017-08-01,100773
222172,2015-11-01,154350
179809,2018-05-01,114107
245837,2016-08-01,103262.6
187512,2019-02-01,92943
139077,2018-08-01,166752.04
146111,2015-07-01,78552
255170,2018-02-01,170323
127441,2017-08-01,150493.68
128874,2016-04-01,333205
223740,2016-05-01,166927
223137,2016-03-01,1487605
106036,2017-05-01,150585.33
226640,2018-01-01,450625.3
183267,2018-10-01,88210.88
249972,2018-12-01,82534
183737,2018-03-01,90529.2
155253,2015-07-01,96134.4
254922,2015-01-01,301638
153503,2015-04-01,89967
241670,2016-11-01,79736
170518,2017-08-01,375896
148239,2016-07-01,95190
166395,2018-11-01,106203.3
245567,2018-06-01,162449.44
172534,2016-04-01,117235.16
400450,2018-04-01,227362.99
155866,2017-12-01,1159473.88
500500,2015-10-01,112795
500500,2015-01-01,81776
108870,2017-12-01,366816
152937,2017-10-01,179312.57
240085,2016-08-01,96140
700700,2018-05-01,435133.07
161975,2016-05-01,167895
159834,2017-04-01,227039
